iter	Passed	Remaining
0	205	205464
1	288	144105
2	375	124822
3	429	106841
4	476	94889
5	565	93723
6	683	96963
7	859	106522
8	98	1078	1189	1122	111173
10	1234	110967
11	1291	106368
12	1357	103099
13	1428	100641
14	1492	97976
15	1551	95441
16	1621	93772
17	1670	91141
18	1729	89271
19	1776	87062
20	1823	84987
21	1877	83446
22	1922	2024	823	1923	2079	824	2024	2135	825	2025	2188	826	2126	2241	827	2127	2300	728	2228	2349	729	2229	2409	730	2330	2461	731	2431	2604	732	2532	2740	833	2633	2880	834	2834	3065	84521
35	3198	85661
36	3306	86071
37	3494	88453
38	3688	90886
39	3757	90168
40	4043	94569
41	4116	93901
42	4184	93133
43	4255	92460
44	4319	91678
45	4379	90819
46	4436	89966
47	4487	89011
48	4539	88100
49	4596	87337
50	4667	86847
51	4734	86312
52	4811	85976
53	4885	85587
54	4949	85043
55	5015	84541
56	5085	84127
57	5147	83599
58	5205	83021
59	5261	82428
60	5322	81933
61	5385	81470
62	5458	81179
63	5519	80718
64	5573	80169
65	5628	79646
66	5682	79130
67	5734	78592
68	5795	78191
69	5855	77801
70	5919	77458
71	6000	77338
72	6061	76977
73	6122	76613
74	6181	76235
75	6247	75960
76	6321	75781
77	6383	75458
78	6435	75027
79	6492	74669
80	6553	74352
81	6612	74022
82	6667	73664
83	6738	73482
84	6805	73263
85	6868	72999
86	6935	72784
87	6999	72540
88	7057	72238
89	7126	72056
90	7191	71833
91	7252	71581
92	7304	71235
93	7361	70954
94	7450	70972
95	7514	796	7396	7557	797	7397	7615	70092
98	7675	69858
99	7755	69799
100	7837	69764
101	7904	69592
102	7994	69617
103	8055	69396
104	8125	69262
105	8186	69046
106	8246	68824
107	8306	68609
108	8367	68400
109	8419	68123
110	8469	67836
111	8520	67554
112	8573	67300
113	8631	67081
114	8712	67048
115	8770	66839
116	8834	66672
117	8884	66410
118	8934	66148
119	8996	65973
120	9053	65766
121	9103	65516
122	9166	65357
123	9233	65230
124	9324	65273
125	9394	65166
126	9452	64975
127	9517	64834
128	9576	64657
129	9637	64498
130	9698	64337
131	9776	64286
132	9896	64510
133	9961	64379
134	10027	64253
135	10124	64318
136	10198	64245
137	10293	64295
138	10378	64287
139	10516	64600
140	10672	65019
141	10806	65297
142	10892	65280
143	10973	65229
144	11103	65472
145	11183	65416
146	11321	65694
147	11393	65590
148	11454	65420
149	11504	65190
150	11653	65520
151	11759	65604
152	11847	65587
153	11922	65497
154	11987	65353
155	12049	65190
156	12115	65054
157	12177	64897
158	12240	64744
159	12298	64566
160	12364	64432
161	12427	64285
162	12483	64102
163	12541	63933
164	12734	64443
165	12836	64492
166	12888	64290
167	12944	64107
168	12994	63896
169	13042	63679
170	13104	63529
171	13156	63335
172	13204	63121
173	13256	62928
174	13309	62745
175	13363	62564
176	13418	62391
177	13468	62196
178	13518	62004
179	13570	61819
180	13626	61655
181	13684	61506
182	13739	61341
183	13787	61143
184	13847	61002
185	13898	60822
186	13948	60643
187	14000	60471
188	14050	60292
189	14110	60157
190	14162	59984
191	14217	59831
192	14281	59716
193	14394	59803
194	14468	59727
195	14537	59634
196	14602	59521
197	14671	59428
198	14734	59307
199	14797	59189
200	14858	59063
201	14922	58950
202	14993	58866
203	15081	58845
204	15151	58759
205	15220	58663
206	15282	58547
207	15353	58461
208	15431	58401
209	15508	58342
210	15574	58236
211	15636	58119
212	15697	57998
213	15753	57860
214	15820	57763
215	15881	57642
216	15941	57522
217	16005	57412
218	16095	57398
219	16154	57274
220	16208	57134
221	16273	57030
222	16336	56921
223	16397	56804
224	16458	56689
225	16520	56579
226	16588	56487
227	16675	56463
228	16777	56488
229	16847	56402
230	16909	56293
231	16959	56141
232	17010	55995
233	17059	55845
234	17111	55703
235	17164	55566
236	17210	55406
237	17263	55273
238	17312	55124
239	17351	54946
240	17392	54774
241	17437	54619
242	17481	54457
243	17526	54302
244	17572	54150
245	17618	54002
246	17665	53855
247	17715	53718
248	17774	53610
249	17836	53509
250	17891	53389
251	17947	53273
252	18008	53171
253	18062	53050
254	18109	52907
255	18166	52795
256	18217	52668
257	18268	52539
258	18316	52403
259	18361	52259
260	18402	52104
261	18444	51954
262	18487	51808
263	18533	51668
264	18575	51519
265	18617	51372
266	18663	51238
267	18708	51099
268	18767	50999
269	18818	50880
270	18867	50754
271	18919	50638
272	18970	50518
273	19030	50423
274	19079	50301
275	19131	50185
276	19178	50056
277	19231	49945
278	19281	49828
279	19328	49700
280	19368	49559
281	19409	49418
282	19453	49285
283	19493	49146
284	19535	49010
285	19588	48901
286	19634	48777
287	19681	48656
288	19719	48512
289	19764	48390
290	19825	48303
291	19875	48190
292	19922	48073
293	19978	47975
294	20037	47885
295	20085	47770
296	20138	47668
297	20185	47550
298	20239	47450
299	20292	47349
300	20347	47252
301	20393	47135
302	20436	47011
303	20482	46894
304	20525	46770
305	20563	46637
306	20611	46526
307	20660	46418
308	20709	46310
309	20754	46195
310	20817	46119
311	20866	46013
312	20915	45908
313	20973	45820
314	21027	45727
315	21089	45648
316	21138	45545
317	21192	45449
318	21242	45348
319	21292	45246
320	21335	45131
321	21389	45037
322	21446	44950
323	21494	44845
324	21547	44752
325	21666	44794
326	21770	44805
327	21861	44790
328	21915	44695
329	21969	44604
330	22036	44539
331	22100	44467
332	22160	44386
333	22207	44282
334	22271	44210
335	22334	44137
336	22388	44046
337	22444	43960
338	22485	43843
339	22537	43749
340	22593	43662
341	22632	43544
342	22678	43439
343	22728	43341
344	22783	43256
345	22837	43166
346	22890	43076
347	22940	42979
348	22988	42881
349	23032	42774
350	23088	42691
351	23136	42593
352	23192	42507
353	23244	42418
354	23294	42323
355	23351	42242
356	23400	42147
357	23444	42042
358	23487	41936
359	23537	41843
360	23582	41743
361	23633	41652
362	23678	41551
363	23736	41474
364	23796	41399
365	23846	41307
366	23900	41223
367	23950	41131
368	24000	41041
369	24048	40947
370	24106	40870
371	24161	40788
372	24209	40695
373	24255	40599
374	24298	40497
375	24344	40401
376	24382	40293
377	24431	40201
378	24476	40104
379	24519	40006
380	24560	39902
381	24606	39808
382	24655	39718
383	24702	39626
384	24748	39533
385	24808	39462
386	25023	39636
387	25106	39600
388	25177	39546
389	25230	39463
390	25283	39380
391	25333	39292
392	25382	39204
393	25428	39110
394	25482	39029
395	25528	38937
396	25579	38852
397	25626	38761
398	25670	38666
399	25716	38574
400	25765	38488
401	25827	38419
402	25878	38336
403	25927	38249
404	25976	38163
405	26031	38086
406	26088	38011
407	26146	37937
408	26201	37860
409	26257	37785
410	26308	37702
411	26357	37617
412	26410	37537
413	26455	37447
414	26500	37355
415	26548	37270
416	26592	37179
417	26637	37089
418	26680	36996
419	26734	36919
420	26788	36841
421	26845	36769
422	26903	36698
423	26955	36618
424	27001	36531
425	27053	36452
426	27101	36368
427	27152	36287
428	27201	36205
429	27252	36125
430	27293	36032
431	27344	35952
432	27391	35868
433	27437	35783
434	27477	35689
435	27519	35598
436	27564	35512
437	27617	35435
438	27664	35352
439	27712	35270
440	27765	35194
441	27824	35126
442	27885	35060
443	27939	34987
444	27995	34915
445	28055	34848
446	28104	34769
447	28154	34690
448	28203	34610
449	28252	34531
450	28297	34445
451	28340	34359
452	28384	34275
453	28427	34188
454	28468	34099
455	28513	34015
456	28555	33929
457	28597	33842
458	28641	33757
459	28695	33685
460	28744	33608
461	28795	33531
462	28852	33463
463	28900	33385
464	28954	33312
465	28998	33230
466	29048	33153
467	29106	33086
468	29165	33020
469	29229	32961
470	29278	32883
471	29316	32795
472	29363	32715
473	29406	32632
474	29452	32552
475	29496	32471
476	29536	32384
477	29577	32299
478	29622	32219
479	29675	32148
480	29760	32111
481	29824	32052
482	29882	31986
483	29942	31922
484	29990	31846
485	30043	31774
486	30092	31699
487	30144	31627
488	30205	31564
489	30253	31488
490	30316	31428
491	30371	31359
492	30415	31279
493	30458	31198
494	30506	31122
495	30553	31045
496	30597	30966
497	30642	30888
498	30688	30811
499	30732	30732
500	30786	30664
501	30847	30601
502	30902	30534
503	30953	30461
504	31009	30395
505	31062	30325
506	31111	30252
507	31164	30183
508	31219	30115
509	31264	30038
510	31307	29959
511	31350	29880
512	31401	29809
513	31441	29729
514	31488	29654
515	31534	29578
516	31575	29498
517	31619	29422
518	31664	29346
519	31704	29265
520	31743	29184
521	31804	29123
522	31864	29062
523	31922	28998
524	31975	28930
525	32024	28858
526	32086	28798
527	32144	28735
528	32194	28664
529	32249	28598
530	32294	28523
531	32343	28452
532	32383	28373
533	32430	28301
534	32484	28234
535	32530	28160
536	32576	28087
537	32665	28050
538	32802	28055
539	32908	28033
540	32970	27973
541	33026	27908
542	33092	27850
543	33261	27880
544	33384	27871
545	33437	27803
546	33481	27728
547	33531	27657
548	33574	27581
549	33620	27507
550	33667	27435
551	33725	27371
552	33770	27297
553	33818	27226
554	33885	27169
555	33939	27102
556	33984	27028
557	34036	26960
558	34095	26897
559	34157	26837
560	34215	26774
561	34284	26719
562	34343	26657
563	34386	26582
564	34453	26526
565	34512	26463
566	34576	26404
567	34636	26343
568	34698	26282
569	34754	26218
570	34816	26158
571	34870	26091
572	34942	26039
573	34997	25974
574	35051	25907
575	35104	25840
576	35150	25769
577	35207	25705
578	35260	25638
579	35315	25573
580	35364	25503
581	35416	25436
582	35462	25365
583	35516	25299
584	35565	25230
585	35631	25173
586	35682	25105
587	35731	25036
588	35775	24963
589	35823	24894
590	35879	24830
591	35936	24767
592	35990	24701
593	36038	24632
594	36100	24572
595	36148	24503
596	36201	24437
597	36250	24368
598	36299	24300
599	36347	24231
600	36403	24168
601	36458	24103
602	36503	24033
603	36554	23966
604	36615	23906
605	36663	23837
606	36712	23769
607	36769	23706
608	36828	23644
609	36876	23576
610	36937	23516
611	36987	23449
612	37038	23383
613	37091	23318
614	37144	23252
615	37193	23185
616	37248	23121
617	37306	23059
618	37357	22993
619	37420	22935
620	37482	22875
621	37548	22819
622	37613	22761
623	37681	22705
624	37757	22654
625	37823	22597
626	37872	22530
627	37934	22470
628	37986	22405
629	38036	22338
630	38090	22274
631	38137	22206
632	38189	22141
633	38245	22078
634	38295	22012
635	38348	21947
636	38390	21877
637	38436	21808
638	38485	21741
639	38529	21672
640	38576	21605
641	38622	21537
642	38664	21466
643	38718	21403
644	38776	21341
645	38830	21278
646	38880	21212
647	38943	21154
648	38996	21090
649	39045	21024
650	39101	20962
651	39152	20897
652	39212	20837
653	39260	20770
654	39311	20705
655	39359	20639
656	39403	20571
657	39450	20504
658	39492	20435
659	39529	20363
660	39573	20295
661	39620	20229
662	39667	20162
663	39715	20096
664	39774	20036
665	39823	19971
666	39886	19913
667	39950	19855
668	40014	19797
669	40078	19740
670	40131	19676
671	40190	19616
672	40251	19557
673	40298	19491
674	40376	19440
675	40437	19381
676	40485	19316
677	40539	19253
678	40751	19265
679	40874	19235
680	40921	19168
681	40985	19110
682	41042	19049
683	41097	18986
684	41147	18921
685	41206	18861
686	41262	18799
687	41312	18734
688	41355	18667
689	41407	18603
690	41451	18536
691	41497	18469
692	41540	18402
693	41583	18335
694	41630	18269
695	41709	18218
696	41832	18185
697	41935	18144
698	41990	18081
699	42042	18018
700	42095	17955
701	42156	17895
702	42203	17830
703	42252	17765
704	42306	17702
705	42352	17636
706	42396	17570
707	42444	17505
708	42494	17441
709	42541	17375
710	42587	17310
711	42631	17244
712	42692	17184
713	42823	17153
714	42951	17120
715	43016	17062
716	43071	17000
717	43123	16937
718	43172	16872
719	43252	16820
720	43431	16806
721	43519	16756
722	43574	16694
723	43619	16628
724	43658	16559
725	43702	16493
726	43743	16426
727	43794	16362
728	43846	16299
729	43908	16240
730	43985	16186
731	44031	16120
732	44085	16058
733	44144	15997
734	44211	15940
735	44279	15882
736	44328	15818
737	44370	15752
738	44417	15687
739	44463	15622
740	44510	15557
741	44565	15495
742	44615	15432
743	44672	15371
744	44725	15308
745	44780	15247
746	44910	15210
747	44999	15160
748	45093	15111
749	45181	15060
750	45248	15002
751	45304	14940
752	45361	14879
753	45414	14817
754	45477	14757
755	45535	14696
756	45592	14635
757	45649	14574
758	45697	14509
759	45750	14447
760	45803	14385
761	45881	14330
762	45982	14283
763	46085	14235
764	46148	14176
765	46193	14111
766	46244	14048
767	46333	13996
768	46389	13934
769	46439	13871
770	46486	13807
771	46534	13743
772	46585	13680
773	46642	13619
774	46688	13554
775	46736	13491
776	46783	13426
777	46838	13365
778	46894	13303
779	46964	13246
780	47050	13193
781	47121	13136
782	47194	13079
783	47291	13029
784	47378	12976
785	47440	12916
786	47498	12855
787	47551	12793
788	47622	12735
789	47703	12680
790	47783	12625
791	47846	12565
792	47920	12508
793	47993	12451
794	48071	12395
795	48148	12339
796	48199	12276
797	48244	12212
798	48302	12151
799	48355	12088
800	48410	12026
801	48457	11963
802	48520	11903
803	48574	11841
804	48636	11781
805	48690	11719
806	48743	11657
807	48791	11593
808	48841	11531
809	48889	11468
810	48938	11404
811	48993	11343
812	49039	11279
813	49086	11216
814	49131	11152
815	49185	11090
816	49290	11040
817	49408	10993
818	49482	10935
819	49530	10872
820	49582	10810
821	49633	10747
822	49680	10684
823	49727	10621
824	49771	10557
825	49819	10494
826	49876	10433
827	49924	10370
828	49972	10307
829	50020	10245
830	50071	10183
831	50120	10120
832	50173	10058
833	50222	9996
834	50272	9934
835	50318	9871
836	50366	9808
837	50410	9745
838	50464	9683
839	50511	9621
840	50563	9559
841	50613	9497
842	50661	9435
843	50705	9372
844	50757	9310
845	50804	9248
846	50851	9185
847	50905	9124
848	50952	9062
849	51009	9001
850	51093	8945
851	51151	8885
852	51205	8824
853	51251	8762
854	51303	8700
855	51354	8639
856	51410	8578
857	51453	8515
858	51500	8453
859	51549	8391
860	51594	8329
861	51651	8269
862	51698	8207
863	51750	8145
864	51802	8084
865	51856	8023
866	51901	7961
867	51948	7899
868	51997	7838
869	52046	7777
870	52096	7715
871	52154	7655
872	52203	7594
873	52258	7533
874	52302	7471
875	52348	7410
876	52394	7348
877	52436	7286
878	52484	7224
879	52536	7164
880	52591	7103
881	52646	7043
882	52691	6981
883	52741	6920
884	52798	6860
885	52855	6800
886	52909	6740
887	52968	6680
888	53035	6621
889	53090	6561
890	53136	6500
891	53197	6440
892	53242	6379
893	53280	6317
894	53321	6255
895	53365	6194
896	53417	6133
897	53463	6072
898	53510	6011
899	53554	5950
900	53601	5889
901	53646	5828
902	53693	5767
903	53749	5707
904	53792	5646
905	53844	5586
906	53894	5526
907	53948	5466
908	54006	5406
909	54055	5346
910	54105	5285
911	54169	5226
912	54224	5167
913	54266	5106
914	54310	5045
915	54356	4984
916	54409	4924
917	54467	4865
918	54509	4804
919	54547	4743
920	54587	4682
921	54636	4622
922	54681	4561
923	54733	4501
924	54776	4441
925	54824	4381
926	54875	4321
927	54946	4263
928	55005	4203
929	55063	4144
930	55120	4085
931	55188	4026
932	55242	3967
933	55305	3908
934	55354	3848
935	55400	3788
936	55448	3728
937	55492	3667
938	55534	3607
939	55571	3547
940	55614	3486
941	55659	3427
942	55700	3366
943	55742	3306
944	55794	3247
945	55835	3187
946	55880	3127
947	55918	3067
948	55960	3007
949	56006	2947
950	56045	2887
951	56084	2827
952	56125	2768
953	56162	2708
954	56201	2648
955	56236	2588
956	56266	2528
957	56297	2468
958	56323	2407
959	56351	2347
960	56396	2288
961	56434	2229
962	56469	2169
963	56509	2110
964	56539	2050
965	56568	1991
966	56601	1931
967	56635	1872
968	56657	1812
969	56682	1753
970	56713	1693
971	56752	1634
972	56802	1576
973	56847	1517
974	56899	1458
975	56940	1400
976	56983	1341
977	57030	1282
978	57065	1224
979	57106	1165
980	57135	1106
981	57162	1047
982	57188	989
983	57215	930
984	57237	871
985	57262	813
986	57282	754
987	57301	695
988	57320	637
989	57341	579
990	57361	520
991	57383	462
992	57401	404
993	57425	346
994	57446	288
995	57462	230
996	57481	172
997	57500	115
998	57521	57
999	57541	0
